type,value,file,line_no,note
ip,203.0.113.77,auth.log,1,
login_fail,unknown,auth.log,1,
ip,10.23.45.67,auth.log,4,
login_success,unknown,auth.log,4,
ip,198.51.100.23,auth.log,7,
login_fail,alice,auth.log,7,
ip,172.16.0.5,auth.log,9,
login_fail,root,auth.log,9,
ip,172.16.0.5,auth.log,10,
login_success,alice,auth.log,10,
ip,203.0.113.77,auth.log,12,
login_success,carol,auth.log,12,
ip,203.0.113.77,auth.log,14,
login_fail,root,auth.log,14,
ip,10.23.45.67,auth.log,16,
login_success,bob,auth.log,16,
ip,172.16.0.5,auth.log,23,
login_fail,alice,auth.log,23,
ip,198.51.100.23,auth.log,27,
login_fail,bob,auth.log,27,
ip,203.0.113.77,auth.log,30,
login_fail,unknown,auth.log,30,
ip,198.51.100.23,auth.log,32,
login_fail,carol,auth.log,32,
ip,172.16.0.5,auth.log,33,
login_success,bob,auth.log,33,
ip,198.51.100.23,auth.log,34,
login_success,carol,auth.log,34,
ip,10.23.45.67,auth.log,38,
login_success,unknown,auth.log,38,
ip,172.16.0.5,auth.log,42,
login_success,root,auth.log,42,
ip,172.16.0.5,auth.log,43,
login_success,bob,auth.log,43,
ip,172.16.0.5,auth.log,46,
login_success,alice,auth.log,46,
ip,198.51.100.23,auth.log,51,
login_success,bob,auth.log,51,
ip,203.0.113.77,auth.log,55,
login_success,unknown,auth.log,55,
ip,192.168.1.42,auth.log,56,
login_fail,carol,auth.log,56,
ip,198.51.100.23,auth.log,57,
login_fail,carol,auth.log,57,
ip,172.16.0.5,auth.log,58,
login_fail,bob,auth.log,58,
ip,203.0.113.77,auth.log,60,
login_fail,alice,auth.log,60,
ip,172.16.0.5,auth.log,65,
login_success,root,auth.log,65,
ip,198.51.100.23,auth.log,66,
login_success,bob,auth.log,66,
ip,192.168.1.42,auth.log,70,
login_fail,bob,auth.log,70,
ip,203.0.113.77,auth.log,73,
login_success,alice,auth.log,73,
ip,10.23.45.67,auth.log,75,
login_fail,alice,auth.log,75,
ip,172.16.0.5,auth.log,82,
login_fail,unknown,auth.log,82,
ip,192.168.1.42,auth.log,85,
login_fail,root,auth.log,85,
ip,198.51.100.23,auth.log,86,
login_success,root,auth.log,86,
ip,10.23.45.67,auth.log,92,
login_success,bob,auth.log,92,
ip,10.23.45.67,auth.log,95,
login_success,alice,auth.log,95,
ip,192.168.1.42,auth.log,98,
login_success,alice,auth.log,98,
ip,10.23.45.67,auth.log,103,
login_fail,unknown,auth.log,103,
ip,198.51.100.23,auth.log,104,
login_success,carol,auth.log,104,
ip,172.16.0.5,auth.log,106,
login_success,root,auth.log,106,
ip,198.51.100.23,auth.log,112,
login_fail,bob,auth.log,112,
ip,172.16.0.5,auth.log,122,
login_success,carol,auth.log,122,
ip,192.168.1.42,auth.log,123,
login_success,bob,auth.log,123,
ip,172.16.0.5,auth.log,126,
login_fail,alice,auth.log,126,
ip,203.0.113.77,auth.log,129,
login_fail,bob,auth.log,129,
ip,198.51.100.23,auth.log,132,
login_success,bob,auth.log,132,
ip,198.51.100.23,auth.log,137,
login_success,alice,auth.log,137,
ip,203.0.113.77,auth.log,141,
login_fail,root,auth.log,141,
ip,198.51.100.23,auth.log,142,
login_success,unknown,auth.log,142,
ip,10.23.45.67,auth.log,147,
login_success,unknown,auth.log,147,
ip,10.23.45.67,web.log,1,
ip,10.23.45.67,web.log,2,
ip,172.16.0.5,web.log,3,
ip,198.51.100.23,web.log,4,
url,https://sub.domain.org/docs?id=42,web.log,4,
ip,172.16.0.5,web.log,5,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,5,
ip,10.23.45.67,web.log,6,
url,https://sub.domain.org/docs?id=42,web.log,6,
ip,198.51.100.23,web.log,7,
ip,203.0.113.77,web.log,8,
ip,10.23.45.67,web.log,9,
ip,10.23.45.67,web.log,10,
url,https://sub.domain.org/docs?id=42,web.log,10,
ip,192.168.1.42,web.log,11,
ip,198.51.100.23,web.log,12,
url,http://malicious.test/path?q=../etc/passwd,web.log,12,
ip,172.16.0.5,web.log,13,
ip,192.168.1.42,web.log,14,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,14,
ip,172.16.0.5,web.log,15,
url,http://malicious.test/path?q=../etc/passwd,web.log,15,
ip,172.16.0.5,web.log,16,
ip,203.0.113.77,web.log,17,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,17,
ip,10.23.45.67,web.log,18,
ip,203.0.113.77,web.log,19,
url,http://malicious.test/path?q=../etc/passwd,web.log,19,
ip,198.51.100.23,web.log,20,
ip,192.168.1.42,web.log,21,
url,http://malicious.test/path?q=../etc/passwd,web.log,21,
ip,10.23.45.67,web.log,22,
ip,192.168.1.42,web.log,23,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,23,
ip,10.23.45.67,web.log,24,
ip,172.16.0.5,web.log,25,
url,http://example.com/login,web.log,25,
ip,10.23.45.67,web.log,26,
url,http://malicious.test/path?q=../etc/passwd,web.log,26,
ip,192.168.1.42,web.log,27,
ip,192.168.1.42,web.log,28,
ip,203.0.113.77,web.log,29,
url,http://example.com/login,web.log,29,
ip,198.51.100.23,web.log,30,
ip,172.16.0.5,web.log,31,
credit_card,5192124998569847,web.log,32,
email,alice.smith@example.com,web.log,32,
ip,172.16.0.5,web.log,32,
ip,203.0.113.77,web.log,32,
ip,198.51.100.23,web.log,33,
url,http://malicious.test/path?q=../etc/passwd,web.log,33,
credit_card,377661565452715,web.log,34,
credit_card,4847007661771158,web.log,34,
email,alice.smith@example.com,web.log,34,
email,alice.smith@example.com,web.log,34,
ip,172.16.0.5,web.log,34,
ip,203.0.113.77,web.log,34,
ip,203.0.113.77,web.log,34,
url,http://malicious.test/path?q=../etc/passwd,web.log,34,
ip,203.0.113.77,web.log,35,
ip,10.23.45.67,web.log,36,
ip,172.16.0.5,web.log,37,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,37,
ip,172.16.0.5,web.log,38,
ip,198.51.100.23,web.log,39,
ip,203.0.113.77,web.log,40,
url,http://malicious.test/path?q=../etc/passwd,web.log,40,
ip,203.0.113.77,web.log,41,
ip,192.168.1.42,web.log,42,
ip,172.16.0.5,web.log,43,
url,http://example.com/login,web.log,43,
ip,10.23.45.67,web.log,44,
url,http://malicious.test/path?q=../etc/passwd,web.log,44,
ip,172.16.0.5,web.log,45,
ip,10.23.45.67,web.log,46,
ip,198.51.100.23,web.log,47,
ip,203.0.113.77,web.log,48,
ip,172.16.0.5,web.log,49,
url,https://sub.domain.org/docs?id=42,web.log,49,
ip,10.23.45.67,web.log,50,
ip,172.16.0.5,web.log,51,
url,https://sub.domain.org/docs?id=42,web.log,51,
ip,192.168.1.42,web.log,52,
url,https://sub.domain.org/docs?id=42,web.log,52,
ip,10.23.45.67,web.log,53,
ip,10.23.45.67,web.log,54,
ip,198.51.100.23,web.log,55,
ip,198.51.100.23,web.log,56,
url,http://example.com/login,web.log,56,
ip,192.168.1.42,web.log,57,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,57,
ip,172.16.0.5,web.log,58,
ip,10.23.45.67,web.log,59,
ip,192.168.1.42,web.log,60,
ip,10.23.45.67,web.log,61,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,61,
ip,192.168.1.42,web.log,62,
ip,172.16.0.5,web.log,63,
url,https://sub.domain.org/docs?id=42,web.log,63,
ip,172.16.0.5,web.log,64,
url,http://example.com/login,web.log,64,
ip,203.0.113.77,web.log,65,
url,http://malicious.test/path?q=../etc/passwd,web.log,65,
ip,172.16.0.5,web.log,66,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,66,
ip,192.168.1.42,web.log,67,
ip,203.0.113.77,web.log,68,
ip,198.51.100.23,web.log,69,
url,http://malicious.test/path?q=../etc/passwd,web.log,69,
ip,203.0.113.77,web.log,70,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,70,
ip,203.0.113.77,web.log,71,
ip,192.168.1.42,web.log,72,
url,https://sub.domain.org/docs?id=42,web.log,72,
ip,10.23.45.67,web.log,73,
ip,192.168.1.42,web.log,74,
url,http://malicious.test/path?q=../etc/passwd,web.log,74,
ip,198.51.100.23,web.log,75,
ip,172.16.0.5,web.log,76,
ip,203.0.113.77,web.log,77,
ip,192.168.1.42,web.log,78,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,78,
ip,172.16.0.5,web.log,79,
url,http://example.com/login,web.log,79,
ip,198.51.100.23,web.log,80,
ip,203.0.113.77,web.log,81,
url,http://example.com/login,web.log,81,
ip,203.0.113.77,web.log,82,
url,http://malicious.test/path?q=../etc/passwd,web.log,82,
ip,172.16.0.5,web.log,83,
ip,198.51.100.23,web.log,84,
ip,203.0.113.77,web.log,85,
ip,172.16.0.5,web.log,86,
ip,192.168.1.42,web.log,87,
url,https://sub.domain.org/docs?id=42,web.log,87,
ip,192.168.1.42,web.log,88,
ip,172.16.0.5,web.log,89,
ip,203.0.113.77,web.log,90,
ip,203.0.113.77,web.log,91,
ip,203.0.113.77,web.log,92,
url,https://sub.domain.org/docs?id=42,web.log,92,
ip,203.0.113.77,web.log,93,
ip,10.23.45.67,web.log,94,
url,http://malicious.test/path?q=../etc/passwd,web.log,94,
ip,203.0.113.77,web.log,95,
ip,198.51.100.23,web.log,96,
url,http://malicious.test/path?q=../etc/passwd,web.log,96,
ip,172.16.0.5,web.log,97,
url,https://sub.domain.org/docs?id=42,web.log,97,
ip,192.168.1.42,web.log,98,
ip,192.168.1.42,web.log,99,
ip,172.16.0.5,web.log,100,
ip,172.16.0.5,web.log,101,
ip,203.0.113.77,web.log,102,
ip,192.168.1.42,web.log,103,
ip,192.168.1.42,web.log,104,
ip,203.0.113.77,web.log,105,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,105,
ip,198.51.100.23,web.log,106,
ip,203.0.113.77,web.log,107,
url,https://sub.domain.org/docs?id=42,web.log,107,
ip,203.0.113.77,web.log,108,
ip,172.16.0.5,web.log,109,
url,https://sub.domain.org/docs?id=42,web.log,109,
ip,203.0.113.77,web.log,110,
ip,10.23.45.67,web.log,111,
ip,198.51.100.23,web.log,112,
url,http://malicious.test/path?q=../etc/passwd,web.log,112,
ip,172.16.0.5,web.log,113,
url,https://sub.domain.org/docs?id=42,web.log,113,
ip,198.51.100.23,web.log,114,
ip,172.16.0.5,web.log,115,
ip,203.0.113.77,web.log,116,
ip,203.0.113.77,web.log,117,
url,https://sub.domain.org/docs?id=42,web.log,117,
ip,198.51.100.23,web.log,118,
ip,203.0.113.77,web.log,119,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,119,
ip,192.168.1.42,web.log,120,
ip,203.0.113.77,web.log,121,
ip,10.23.45.67,web.log,122,
url,https://sub.domain.org/docs?id=42,web.log,122,
ip,10.23.45.67,web.log,123,
url,http://example.com/login,web.log,123,
ip,172.16.0.5,web.log,124,
url,http://example.com/login,web.log,124,
ip,203.0.113.77,web.log,125,
ip,203.0.113.77,web.log,126,
ip,198.51.100.23,web.log,127,
url,https://sub.domain.org/docs?id=42,web.log,127,
ip,10.23.45.67,web.log,128,
ip,203.0.113.77,web.log,129,
ip,203.0.113.77,web.log,130,
ip,172.16.0.5,web.log,131,
url,http://example.com/login,web.log,131,
ip,172.16.0.5,web.log,132,
url,http://malicious.test/path?q=../etc/passwd,web.log,132,
ip,203.0.113.77,web.log,133,
url,https://sub.domain.org/docs?id=42,web.log,133,
ip,203.0.113.77,web.log,134,
ip,172.16.0.5,web.log,135,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,135,
ip,192.168.1.42,web.log,136,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,136,
ip,198.51.100.23,web.log,137,
ip,203.0.113.77,web.log,138,
ip,198.51.100.23,web.log,139,
ip,10.23.45.67,web.log,140,
url,http://example.com/login,web.log,140,
ip,198.51.100.23,web.log,141,
ip,203.0.113.77,web.log,142,
url,http://malicious.test/path?q=../etc/passwd,web.log,142,
ip,10.23.45.67,web.log,143,
url,https://sub.domain.org/docs?id=42,web.log,143,
ip,172.16.0.5,web.log,144,
ip,198.51.100.23,web.log,145,
ip,10.23.45.67,web.log,146,
ip,203.0.113.77,web.log,147,
url,https://sub.domain.org/docs?id=42,web.log,147,
ip,203.0.113.77,web.log,148,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,148,
ip,203.0.113.77,web.log,149,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,149,
ip,192.168.1.42,web.log,150,
ip,203.0.113.77,web.log,151,
ip,198.51.100.23,web.log,152,
ip,203.0.113.77,web.log,153,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,153,
ip,192.168.1.42,web.log,154,
url,https://sub.domain.org/docs?id=42,web.log,154,
ip,192.168.1.42,web.log,155,
ip,203.0.113.77,web.log,156,
url,http://malicious.test/path?q=../etc/passwd,web.log,156,
ip,172.16.0.5,web.log,157,
ip,10.23.45.67,web.log,158,
ip,203.0.113.77,web.log,159,
url,https://sub.domain.org/docs?id=42,web.log,159,
ip,203.0.113.77,web.log,160,
ip,203.0.113.77,web.log,161,
url,https://sub.domain.org/docs?id=42,web.log,161,
ip,10.23.45.67,web.log,162,
ip,203.0.113.77,web.log,163,
ip,172.16.0.5,web.log,164,
ip,203.0.113.77,web.log,165,
ip,10.23.45.67,web.log,166,
url,http://malicious.test/path?q=../etc/passwd,web.log,166,
ip,198.51.100.23,web.log,167,
ip,10.23.45.67,web.log,168,
ip,172.16.0.5,web.log,169,
ip,10.23.45.67,web.log,170,
ip,203.0.113.77,web.log,171,
ip,192.168.1.42,web.log,172,
ip,10.23.45.67,web.log,173,
url,https://sub.domain.org/docs?id=42,web.log,173,
ip,192.168.1.42,web.log,174,
ip,198.51.100.23,web.log,175,
ip,172.16.0.5,web.log,176,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,176,
ip,172.16.0.5,web.log,177,
ip,10.23.45.67,web.log,178,
ip,203.0.113.77,web.log,179,
url,https://sub.domain.org/docs?id=42,web.log,179,
ip,192.168.1.42,web.log,180,
url,http://malicious.test/path?q=../etc/passwd,web.log,180,
ip,192.168.1.42,web.log,181,
ip,203.0.113.77,web.log,182,
url,http://malicious.test/path?q=../etc/passwd,web.log,182,
ip,198.51.100.23,web.log,183,
ip,192.168.1.42,web.log,184,
ip,192.168.1.42,web.log,185,
ip,203.0.113.77,web.log,186,
url,http://example.com/login,web.log,186,
ip,10.23.45.67,web.log,187,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,187,
ip,192.168.1.42,web.log,188,
ip,203.0.113.77,web.log,189,
ip,172.16.0.5,web.log,190,
ip,10.23.45.67,web.log,191,
ip,192.168.1.42,web.log,192,
ip,198.51.100.23,web.log,193,
url,https://sub.domain.org/docs?id=42,web.log,193,
ip,198.51.100.23,web.log,194,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,194,
ip,172.16.0.5,web.log,195,
ip,172.16.0.5,web.log,196,
ip,172.16.0.5,web.log,197,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,197,
ip,10.23.45.67,web.log,198,
url,https://store.ecom-shop.co.uk/pay/checkout,web.log,198,
ip,198.51.100.23,web.log,199,
ip,198.51.100.23,web.log,200,
